"Gardiner Lessons 2 to 33","Hans Mion","22.7.2004","mionh@hispeed.ch","","",""
"L","E","O42( 0, 0) - Q3( 345, 435) - A53( 915, 0) ","O42 - Q3 - A53 ","Ssp","image, idol","G17v"
"L","E","E34( 0, 420) - N35( 30, 975) - W24( 960, 435) - X1( 915, 870) - N14( 1410, 540) - A1( 1935, 0) - Z2( 1875, 780) ","E34 - N35 - W24 - X1 - N14 - A1 - Z2 ","wnwt","priesthood, priests (collective)","G17v"
"L","E","M20( 0, 0) - X1( 810, 15) - Z4( 825, 420) - A1( 1350, 0) ","M20 - X1 - Z4 - A1 ","sxty","peasant, fowler","G17v"
"L","E","A49( 0, 105) - F35( 645, 105) - F4( 945, 0) - X1( 945, 615) - Z1( 1575, 540) ","A49 - F35 - F4 - X1 - Z1 ","iry  nfr  HAt","keeper of the diadem","G17v"
"L","E","V28( 0, 90) - M2( 480, 90) - N35( 270, 690) - W24( 1110, 300) - G43( 1515, 75) - W22( 2310, 0) - Z2( 2190, 555) ","V28 - M2 - N35 - W24 - G43 - W22 - Z2 ","Hnw","chattels, belongings, lit. vessels","G17v"
"L","E","O4( 0, 210) - M17( 585, 105) - M17( 930, 105) - D52( 1200, 0) - A1( 1305, 315) ","O4 - M17 - M17 - D52 - A1 ","hi","husband","G17v"
"L","E","G1( 0, 30) - S29( 840, 30) - V2( 1140, 0) - D54( 1320, 405) ","G1 - S29 - V2 - D54 ","As","quickly","G17v"
"L","E","T18( 0, 0) - G43( 285, 0) - A1( 915, 0) ","T18 - G43 - A1 ","Smsw","follower, attendant","G17v"
"L","E","A49( 0, 15) - O29( 675, 45) - O31( 660, 450) - A1( 1560, 0) ","A49 - O29 - O31 - A1 ","iry  aA","door-keeper","G17v"
"L","E","F35( 0, 150) - F4( 330, 0) - X1( 375, 600) - Z1( 855, 510) ","F35 - F4 - X1 - Z1 ","nfr  HAt","diadem, or like","G17v"
"L","E","V28( 0, 0) - M42( 435, 0) - N35( 210, 600) - A17( 1155, 0) ","V28 - M42 - N35 - A17 ","Hwn","be young, rejuvenated","G17v"
"L","E","T28( 105, 0) - D21( 0, 495) - G43( 885, 75) - N23( 1530, 75) ","T28 - D21 - G43 - N23 ","Xrw","down, lower part, m Xrw downcast","G17v"
"L","E","O1( 150, 0) - O29( 0, 480) ","O1 - O29 ","pr  aA","Great House, Palace, Pharaoh","G17v"
"L","E","V7( 0, 75) - N35( 510, 0) - D36( 495, 360) - A24( 1410, 15) "," V7 - N35 - D36 - A24 ","Sna","repel, turn back (someone)","G17v"
"L","E","N35( 300, 0) - T34( 0, 180) - G17( 390, 195) - V28( 1290, 195) - A17( 1695, 210) - G37( 2205, 375) ","N35 - T34 - G17 - V28 - A17 - G37 ","nmHy","orphan, waif, poor man","G17v"
"L","E","M17( 0, 0) - V28( 360, 15) - E1( 780, 105) ","M17 - V28 - E1 ","iH"," ox","G17v"
"L","E","V13( 30, 15) - N35( 0, 600) - T14( 1005, 0) - G41( 1290, 15) ","V13 - N35 - T14 - G41 ","Tn","where ?, whence ?","G17v (interrogative)"
"L","E","V24( 0, 0) - G43( 300, 0) - Y1V( 945, 15) ","V24 - G43 - Y1V ","wD","command","G17v (noun)"
"L","E","S29( 0, 15) - V24( 300, 15) - G43( 555, 0) - Y1V( 1200, 0) ","S29 - V24 - G43 - Y1V ","swD","hand over, bequeath","G17v causative)"
"L","E","L1( 0, 0) - D21( 870, 15) - X1( 600, 390) - Z2( 1020, 345) ","L1 - D21 - X1 - Z2 ","xprt","what has happened, occurrence","G18v"
"L","E","Y5( 0, 0) - N35( 15, 600) - V28( 945, 0) - N33( 1470, 0) - Z2( 1230, 435) ","Y5 - N35 - V28 - N33 - Z2 ","mnH","wax","G18v"
"L","E","M12( 0, 0) - G1( 435, 0) - D36( 1080, 195) - A24( 1965, 0) ","M12 - G1 - D36 - A24 ","xAa","throw, let go","G18v"
"L","E","D46( 0, 15) - Q3( 315, 345) - F20( 960, 75) - A2( 1875, 0) ","D46 - Q3 - F20 - A2 ","dp","taste","G18v"
"L","E","D2( 255, 15) - D21( 0, 495) - Z4( 1230, 15) - O1( 900, 390) - Z1( 1575, 390) - A1( 1770, 0) ","D2 - D21 - Z4 - O1 - Z1 - A1 ","Hrypr","servant (or the like)","G18v"
"L","E","N37( 0, 0) - X1( 240, 525) - U30( 870, 270) - G1( 1425, 15) - Y1V( 2250, 30) ","N37 - X1 - U30 - G1 - Y1V ","StA","mysterious, difficult","G18v"
"L","E","Q3( 330, 15) - N35( 0, 600) - G43( 915, 0) - W24( 1560, 180) - F27( 1965, 15) ","Q3 - N35 - G43 - W24 - F27 ","pnw","mouse","G18v"
"L","E","M17( 0, 15) - D4( 300, 240) - G4( 1080, 15) - A2( 1935, 0) - Z3( 2505, 60) ","M17 - D4 - G4 - A2 - Z3 ","irtyw","mourning","G18v"
"L","E","V28( 0, 0) - W24( 270, 15) - X1( 285, 495) - B1( 795, 0) ","V28 - W24 - X1 - B1 ","Hnwt","mistress","G18v"
"L","E","F13( 0, 15) - Q3( 240, 585) - X1( 825, 15) - Z4( 1320, 0) - D54( 1020, 450) - A1( 1830, 180) ","F13 - Q3 - X1 - Z4 - D54 - A1 ","wpwty","messenger, envoy","G18v"
"L","E","M42( 0, 90) - X1( 0, 600) - A2( 600, 90) - X2( 1290, 0) - W22( 1800, 45) - Z8( 1305, 600) - Z3( 2340, 120) ","M42 - X1 - A2 - X2 - W22 - Z8 - Z3 ","wnmt","food","G18v"
"L","E","Z11( 0, 0) - G17( 510, 0) - A2( 1440, 15) ","Z11 - G17 - A2 ","wnm","eat","G18v"
"L","E","M42( 165, 15) - N35( 0, 630) - G17( 885, 75) - A2( 1785, 0) ","M42 - N35 - G17 - A2 ","wnm","eat","G18v"
"L","E","N35( 0, 15) - X1( 195, 465) - D36( 915, 15) - Z1( 1230, 375) - Y1( 1860, 0) - Z2( 1995, 375) ","N35 - X1 - D36 - Z1 - Y1 - Z2 ","nt  a","custom, habit (f.)","G18v"
"L","E","O4( 225, 0) - N35( 0, 525) - Q6( 945, 90) ","O4 - N35 - Q6 ","hn","box","G18v"
"L","E","G36( 30, 15) - D21( 0, 585) - V28( 1005, 15) - W23( 1470, 0) - D40( 1290, 435) ","G36 - D21 - V28 - W23 - D40 ","wrH","anoint","G18v"
"L","E","S29( 0, 30) - T31( 270, 150) - G17( 1215, 0) - Y1V( 2175, 0) ","S29 - T31 - G17 - Y1V ","sSm","condition, procedure","G18v"
"L","E","S29( 0, 165) - V4( 285, 180) - G1( 1020, 150) - N31( 1710, 0) - D54( 1800, 375) ","S29 - V4 - G1 - N31 - D54 ","swA","pass","G18v (causative)"
"L","E","S29( 0, 30) - Y5( 285, 45) - N35( 270, 630) - J1( 1230, 0) - U22( 1215, 405) - Y1V( 1755, 60) ","S29 - Y5 - N35 - J1 - U22 - Y1V ","smnx","furnish, adorn","G18v (causative)"
"L","E","Y5( 30, 30) - N35( 0, 615) - F35( 1005, 15) - I9( 1365, 0) - D21( 1290, 540) - O24( 2205, 15) - O49( 2835, 165) ","Y5 - N35 - F35 - I9 - D21 - O24 - O49 ","mn  nfr","Memphis","G18v (locality)"
"L","E","G17( 45, 135) - D36( 0, 930) - U28( 975, 345) - G1( 1395, 345) - M17( 2205, 330) - M17( 2505, 330) - G43( 2790, 330) - T14( 3420, 330) - A1( 3735, 0) - Z2( 3735, 765) ","G17 - D36 - U28 - G1 - M17 - M17 - G43 - T14 - A1 - Z2 ","mDAw","Medjay, a Nubian people","G18v (noun)"
"L","E","D21( 15, 0) - G17( 0, 225) - D4( 885, 315) ","D21 - G17 - D4 ","rmi","weep","G18v (verb)"
"L","E","D21( 0, 15) - O34( 0, 600) - T13( 945, 0) - D4( 1470, 285) ","D21 - O34 - T13 - D4 ","rs","wake (intrans.)","G19v"
"L","E","J27( 0, 0) - W24( 405, 405) - A24( 810, 0) ","J27 - W24 - A24 ","nD","protect, rescue","G19v"
"L","E","S29( 0, 60) - U5( 270, 0) - D36( 255, 480) - Y1V( 1230, 90) ","S29 - U5 - D36 - Y1V ","smAa","make true","G19v"
"L","E","D46( 0, 0) - G17( 15, 285) - T30( 885, 255) - A2( 1755, 270) ","D46 - G17 - T30 - A2 ","dm","pronounce, rn a name","G19v"
"L","E","D52( 0, 0) - X1( 240, 465) - G43( 885, 15) - X1( 1770, 30) - D53( 1530, 375) ","D52 - X1 - G43 - X1 - D53 ","mtwt","poisen","G19v"
"L","E","Z9( 0, 0) - X1( 30, 495) - Q7( 600, 0) ","Z9 - X1 - Q7 ","sDt","fire, flame","G19v"
"L","E","S29( 0, 30) - I10( 510, 30) - X1( 585, 465) - Z9( 1170, 120) - Q7( 1635, 0) ","S29 - I10 - X1 - Z9 - Q7 ","sDt","fire, flame","G19v"
"L","E","J1( 135, 0) - I9( 0, 435) - X1( 900, 60) - Z4( 885, 360) - A14( 1320, 135) ","J1 - I9 - X1 - Z4 - A14 ","xfty","enemy, opponent","G19v"
"L","E","D21( 0, 30) - N29( 240, 345) - D41( 885, 150) - F34( 1755, 0) - Z1( 1860, 360) - A14( 2160, 75) ","D21 - N29 - D41 - F34 - Z1 - A14 ","rq  ib","disaffected, envious, lit. downward inclined of heart","G19v"
"L","E","V31( 0, 0) - V31( 15, 510) - G43( 945, 0) - N2( 1575, 0) ","V31 - V31 - G43 - N2 ","kkw","darkness","G19v"
"L","E","T10( 0, 0) - X1( 0, 390) - Z4( 450, 300) - T14( 900, 0) - A1( 1185, 0) ","T10 - X1 - Z4 - T14 - A1 ","pDty","bowman, foreigner","G19v"
"L","E","D46( 0, 0) - G17( 0, 315) - T30( 945, 345) - A24( 1890, 225) ","D46 - G17 - T30 - A24 ","dm","be sharp, sharpen","G19v"
"L","E","N9( 30, 0) - X1( 0, 525) - R8( 480, 15) - Z3( 900, 45) ","N9 - X1 - R8 - Z3 ","psDt","Ennead of gods, company of nine gods","G19v"
"L","E","T14( 0, 0) - G17( 300, 0) - A1( 1050, 0) ","T14 - G17 - A1 ","aAm","Asiatic","G19v"
"L","E","G17( 0, 15) - P6( 960, 0) - D36( 1245, 15) - X1( 1470, 480) - O1( 2190, 255) ","G17 - P6 - D36 - X1 - O1 ","maHat"," tomb","G19v"
"L","E","V28( 0, 15) - D28( 390, 60) - G1( 1200, 0) - A2( 2025, 15) ","V28 - D28 - G1 - A2 ","HqAw","magic","G19v"
"L","E","R8( 0, 0) - T22( 405, 0) - N35( 840, 0) - V13( 810, 195) - D21( 810, 420) - N33( 1950, 30) - Z2( 1725, 405) ","R8 - T22 - N35 - V13 - D21 - N33 - Z2 ","snTr","incense","G19v"
"L","E","J1( 255, 0) - O34( 0, 405) - D21( 15, 555) - A24( 945, 0) ","J1 - O34 - D21 - A24 ","xsr","dispel, drive away","G19v"
"L","E","S29( 0, 15) - G17( 420, 15) - J1( 1275, 0) - A2( 1695, 0) ","S29 - G17 - J1 - A2 ","smx","forget","G19v (causative)"
"L","E","S29( 0, 45) - D36( 285, 60) - D21( 285, 555) - N31( 1230, 0) - D54( 1320, 390) ","S29 - D36 - D21 - N31 - D54 ","sar","cause to mount up, bring","G19v (causative)"
"L","E","G17( 15, 0) - D36( 0, 675) ","G17 - D36 ","m","who ?, what ? ","G19v (interrogative)"
"L","E","G17( 0, 0) - D38( 840, 105) ","G17 - D38 ","m","who ?, what ?","G19v (interrogative)"
"L","E","U35( 0, 15) - A24( 930, 0) ","U35 - A24 ","xsf","oppose, repress, repel, with n, punish","G19v (verb transitive)"
"L","E","J1( 240, 0) - O34( 0, 405) - I9( 105, 555) - U34( 945, 45) - A24( 1230, 60) ","J1 - O34 - I9 - U34 - A24 ","xsf","oppose, repress, repel, with n, punish","G19v (verb transitive)"
"L","E","F31( 0, 0) - S29( 540, 30) - B3( 855, 60) ","F31 - S29 - B3 ","msi","bear, give birth, form, fashion (statue)","G19v (verb)"
"L","E","V7( 225, 0) - N35( 0, 600) - A2( 885, 75) "," V7 - N35 - A2 ","Sni","exorcise, conjure","G19v (verb)"
"L","E","S34( 0, 15) - N18( 375, 0) - Z2( 390, 375) ","S34 - N18 - Z2 ","anxw","victuals","G20v"
"L","E","V31( 0, 45) - I9( 60, 405) - S28( 795, 0) ","V31 - I9 - S28 ","kf","uncover","G20v"
"L","E","S23( 0, 0) - D46( 840, 0) - Y1( 825, 315) ","S23 - D46 - Y1 ","dmD","total","G20v"
"L","E","M14( 0, 90) - G36( 630, 0) - D21( 615, 540) - N36( 1455, 285) ","M14 - G36 - D21 - N36 ","wAD  wr","the sea, lit. the great green","G20v"
"L","E","V28( 0, 75) - I9( 390, 0) - F40( 255, 270) - G43( 1215, 90) - I14( 1875, 360) ","V28 - I9 - F40 - G43 - I14 ","HfAw","snake","G20v"
"L","E","Y5( 15, 0) - N35( 0, 315) - X1( 270, 555) ","Y5 - N35 - X1 ","mnt","quantum, fixed ration","G20v"
"L","E","G35( 0, 255) - G43( 840, 0) - Z8( 1500, 60) - Z2( 1605, 420) ","G35 - G43 - Z8 - Z2 ","aqw","provisions, revenue","G20v"
"L","E","U21( 0, 0) - V16( 0, 360) - O1( 795, 195) ","U21 - V16 - O1 ","stp  sA","palace","G20v"
"L","E","X1( 0, 165) - J1( 525, 0) - N35( 75, 600) - O25( 1095, 0) ","X1 - J1 - N35 - O25 ","txn","obelisk","G20v"
"L","E","Z9( 240, 0) - N35( 0, 465) ","Z9 - N35 ","Sbn","various (adj.)","G20v"
"L","E","G35( 0, 315) - N29( 855, 225) - M17( 1275, 195) - M17( 1560, 195) - A1( 1905, 0) - Z2( 1830, 645) ","G35 - N29 - M17 - M17 - A1 - Z2 ","aqyw","members of household","G20v"
"L","E","F40( 0, 0) - G43( 825, 15) ","F40 - G43 ","Aw","length (of space, time)","G20v"
"L","E","D21( 45, 15) - J1( 0, 330) - X1( 510, 495) - Y1V( 1035, 0) ","D21 - J1 - X1 - Y1V ","rxt","amount, number (n.)","G20v"
"L","E","D46( 0, 0) - O34( 75, 450) - W22( 900, 90) ","D46 - O34 - W22 ","ds","jug, beer-jug","G20v"
"L","E","S41( 0, 15) - S12( 315, 0) - N33( 165, 450) - Z2( 450, 450) ","S41 - S12 - N33 - Z2 ","Dam","fine gold","G20v"
"L","E","U13( 0, 0) - D36( 15, 600) - O1( 915, 300) ","U13 - D36 - O1 ","Sna","ergastulum, magazine","G20v"
"L","E","Q3( 345, 45) - N37( 795, 60) - O34( 0, 555) - Z9( 1005, 315) - Y1V( 1755, 0) ","Q3 - N37 - O34 - Z9 - Y1V ","psS","divide","G20v"
"L","E","W22( 0, 120) - G43( 405, 0) - A1( 1035, 0) ","W22 - G43 - A1 ","wdpw","butler","G20v"
"L","E","S29( 0, 0) - J1( 270, 195) - G43( 795, 15) - W10( 1440, 240) ","S29 - J1 - G43 - W10 ","sxw","breadth (from stem wsx)","G20v"
"L","E","U29( 0, 0) - X1( 540, 30) - Z2( 435, 405) ","U29 - X1 - Z2 ","DAt","balance, remainder","G20v"
"L","E","M17( 0, 0) - Y5( 300, 0) - N35( 300, 600) - A40( 1230, 15) ","M17 - Y5 - N35 - A40 ","imn","Amun, the god of Thebes","G20v"
"L","E","M12( 0, 0) - G1( 420, 0) - D51( 1065, 0) - D40( 1065, 240) ","M12 - G1 - D51 - D40 ","xAi","measure (vb.)","G20v"
"L","E","W17( 0, 0) - N35( 630, 15) - X1( 765, 435) - D19( 1485, 105) - O1( 2115, 180) ","W17 - N35 - X1 - D19 - O1 ","xnt","harem","G20v"
"L","E","Y5( 0, 45) - N35( 15, 540) - D36( 930, 45) - X1( 1170, 480) - D27( 1905, 150) - B1( 2550, 0) ","Y5 - N35 - D36 - X1 - D27 - B1 ","mnat","nurse","G20v (noun)"
"L","E","S29( 0, 0) - D58( 270, 15) - V28( 810, 15) - F18( 1080, 240) - A2( 2025, 30) ","S29 - D58 - V28 - F18 - A2 ","sbH","cry out","G20v (verb)"
"L","E","G17( 0, 120) - I9( 870, 0) - D28( 825, 285) - X1( 1815, 60) - N33A( 1590, 720) ","G17 - I9 - D28 - X1 - N33A ","mfkAt","turquoise","G21v"
"L","E","G17( 0, 0) - I9( 915, 0) - V31( 840, 510) - X1( 2040, 75) - N33A( 1800, 600) ","G17 - I9 - V31 - X1 - N33A ","mfkAt","turquoise","G21v"
"L","E","N35( 0, 90) - M3( 15, 435) - J1( 1020, 15) - X1( 990, 435) - G43( 1560, 15) - D40( 2220, 0) - Z2( 2340, 420) ","N35 - M3 - J1 - X1 - G43 - D40 - Z2 ","nxtw","victory","G21v"
"L","E","T22( 0, 0) - N35( 360, 15) - D19( 480, 195) ","T22 - N35 - D19 ","sn","smell, kiss","G21v"
"L","E","R4( 0, 0) - X1( 60, 555) - Q3( 600, 495) - G43( 930, 0) - Y1( 1575, 30) - Z2( 1725, 390) ","R4 - X1 - Q3 - G43 - Y1 - Z2 ","Htpw","peace","G21v"
"L","E","J1( 0, 195) - S29( 525, 45) - D58( 960, 0) - D46( 1545, 15) - N33A( 1575, 525) ","J1 - S29 - D58 - D46 - N33A ","xsbD","lapis lazuli","G21v"
"L","E","N18( 0, 0) - Z1( 60, 315) - N21( 435, 330) ","N18 - Z1 - N21 ","iw","island","G21v"
"L","E","G17( 0, 0) - D36( 915, 15) - V31( 960, 495) - A24( 1845, 15) ","G17 - D36 - V31 - A24 ","mki","protect","G21v"
"L","E","G36( 0, 0) - D21( 30, 585) - A19( 930, 15) ","G36 - D21 - A19 ","wr","chieftain","G21v"
"L","E","N29( 0, 240) - D58( 405, 0) - F46( 945, 0) - Y1( 945, 495) ","N29 - D58 - F46 - Y1 ","q(A)b","double (vb.)","G21v"
"L","E","G43( 0, 135) - I10( 630, 0) - D36( 630, 750) - J21( 1575, 135) - Y1V( 1995, 135) ","G43 - I10 - D36 - J21 - Y1V ","wDa","divide, sever, judge, judge between","G21v"
"L","E","V25( 0, 30) - M17( 300, 15) - M17( 600, 0) - X1( 1035, 0) - D54( 900, 240) ","V25 - M17 - M17 - X1 - D54 ","wDyt","(military) expedition","G21v"
"L","E","D36( 0, 0) - V4( 15, 345) - G1( 900, 150) - D40( 1515, 300) - D4( 2340, 15) - D21( 2370, 330) - I9( 2385, 720) ","D36 - V4 - G1 - D40 - D4 - D21 - I9 ","awA  ir(y)  .f","brigand","G21v"
"L","E","V6( 0, 105) - S29( 405, 0) - D21( 690, 15) - T11( 675, 585) ","V6 - S29 - D21 - T11 ","Ssr","arrow","G21v"
"L","E","D21( 0, 135) - V13( 15, 420) - N35( 810, 165) - W24( 1050, 345) - G43( 1605, 0) - N25( 2160, 195) ","D21 - V13 - N35 - W24 - G43 - N25 ","rTnw","Retenu, name of Palestine and Syria","G21v"
"L","E","Q3( 315, 15) - O34( 0, 645) - D46( 930, 0) - F38( 1095, 285) ","Q3 - O34 - D46 - F38 ","psd","back","G21v"
"L","E","R8( 0, 0) - R4( 465, 0) - X1( 495, 465) - Q3( 1140, 390) - Z8( 1485, 0) - Z2( 1605, 375) ","R8 - R4 - X1 - Q3 - Z8 - Z2 ","Htpw  nTr","offerings (to the gods)","G21v"
"L","E","F13( 0, 0) - Q3( 165, 585) - N31( 855, 0) - X1( 765, 600) - Z2( 1290, 525) - E18( 2145, 120) ","F13 - Q3 - N31 - X1 - Z2 - E18 ","wp  wAwt","Wepwawet, 'opener of the ways', the wolf-god of Abydos and Asyut","G21v (divinity)"
"L","E","G29( 0, 0) - V31( 855, 15) - A24( 1695, 15) ","G29 - V31 - A24 ","bAk","work (trans. and intrans.)","G22v"
"L","E","V4( 0, 15) - G1( 945, 0) - G43( 1740, 0) - N35A( 2370, 0) ","V4 - G1 - G43 - N35A ","wAw","wave","G22v"
"L","E","Q3( 255, 0) - I10( 0, 300) - T9( 795, 600) ","Q3 - I10 - T9 ","pD","stretch, adj. wide","G22v"
"L","E","G36( 0, 0) - D21( 15, 570) - N37( 945, 15) - N5( 1185, 300) ","G36 - D21 - N37 - N5 ","wrS","spend the day, pass time","G22v"
"L","E","V4( 0, 45) - G1( 840, 0) - S29( 1485, 30) - S40( 1890, 15) - G37( 2070, 90) ","V4 - G1 - S29 - S40 - G37 ","wAs","ruin","G22v"
"L","E","O29( 0, 0) - X1( 240, 315) - O39( 900, 135) ","O29 - X1 - O39 ","aAt","precious stone","G22v"
"L","E","V30( 0, 270) - W11( 975, 0) - W11( 1500, 0) - W11( 1230, 435) - N16( 2055, 15) - N16( 2070, 600) - N21( 2970, 30) - N21( 3000, 570) ","V30 - W11 - W11 - W11 - N16 - N16 - N21 - N21 ","nb nswt tAwy","lord of the thrones of the two lands, epithet of the god Amun-Ra","G22v"
"L","E","U1( 0, 0) - G1( 900, 0) - Q1( 1725, 0) - X1( 2250, 300) - D56( 2760, 30) ","U1 - G1 - Q1 - X1 - D56 ","mAst"," lap","G22v"
"L","E","S29( 0, 75) - J18( 285, 75) - G1( 1110, 90) - V28( 1950, 90) - D61( 2220, 0) - Y1( 2205, 690) ","S29 - J18 - G1 - V28 - D61 - Y1 ","sAH","endow with (m)","G22v"
"L","E","V6( 240, 0) - O34( 0, 585) - V1( 960, 135) ","V6 - O34 - V1 ","Ss","cord","G22v"
"L","E","G36( 45, 0) - D21( 0, 555) - D21( 915, 15) - X1( 1125, 495) - T17( 1755, 135) ","G36 - D21 - D21 - X1 - T17 ","wrryt","chariot","G22v"
"L","E","D46( 0, 0) - O4( 165, 360) - N35( 960, 0) - D1( 1095, 330) ","D46 - O4 - N35 - D1 ","dhn","appoint, promote","G22v"
"L","E","V4( 0, 15) - G1( 870, 0) - N31( 1515, 105) ","V4 - G1 - N31 ","wAi","be far, with r, fall into (bad condition, etc.)","G22v"
"L","E","D2( 210, 0) - D21( 0, 510) - J19( 1215, 30) - N31( 990, 450) ","D2 - D21 - J19 - N31 ","Hr","be far from (r)","G22v"
"L","E","G21( 0, 15) - V28( 825, 15) - D58( 1110, 0) - Z9( 1635, 150) ","G21 - V28 - D58 - Z9 ","nHb","unite, link together, equip with (m)","G22v"
"L","E","S29( 0, 15) - P7( 375, 15) - A24( 1230, 0) ","S29 - P7 - A24 ","saHa","erect","G22v (causative)"
"L","E","W11( 180, 0) - D21( 0, 540) - U17( 915, 120) ","W11 - D21 - U17 ","grg","furnish with (m)","G22v (verb  transitive)"
"L","E","V28( 0, 30) - D36( 285, 210) - A28( 1245, 0) "," V28 - D36 - A28 ","Hai","rejoice","G22v (verb)"
"L","E","T21( 60, 0) - D36( 0, 360) - G37( 975, 135) ","T21 - D36 - G37 ","wai","be alone","G22v (verb)"
"L","E","T25( 0, 45) - D58( 405, 45) - A24( 810, 0) ","T25 - D58 - A24 ","DbA","stop up, block","G23v"
"L","E","D58( 0, 0) - G43( 540, 0) ","D58 - G43 ","bw","place, also forms abstracts, as bw nTr good, bw bin evil","G23v"
"L","E","V17( 0, 285) - Z1( 510, 465) - A1( 930, 0) - Z2( 855, 750) ","V17 - Z1 - A1 - Z2 ","sA","body (of men), corps, regiment","G23v"
"L","E","N14( 0, 165) - G1( 525, 30) - X1( 1365, 0) - N5( 1365, 285) ","N14 - G1 - X1 - N5 ","dwA","morning","G23v"
"L","E","N35( 0, 0) - I10( 45, 180) - S29( 840, 165) - G37( 1065, 390) ","N35 - I10 - S29 - G37 ","nDs","be poor, of eyes, dim","G23v"
"L","E","W18( 0, 15) - N35( 855, 0) - X1( 1200, 435) - N37( 1815, 15) - Z1( 1875, 345) - N21( 2235, 390) ","W18 - N35 - X1 - N37 - Z1 - N21 ","xnt  S","garden (with trees)","G23v"
"L","E","V26( 15, 0) - Y1( 0, 315) ","V26 - Y1 ","aD","be in good condition, safe","G23v"
"L","E","G17( 0, 0) - D36( 945, 0) - D21( 930, 510) - M1( 1875, 0) - Y1V( 2280, 0) ","G17 - D36 - D21 - M1 - Y1V ","mar","be fortunate, happy","G23v"
"L","E","D36( 0, 240) - E34( 960, 45) - N35( 960, 570) - A24( 1905, 0) ","D36 - E34 - N35 - A24 ","awn","be rapacious","G23v"
"L","E","G43( 0, 15) - U28( 645, 15) - G1( 1065, 15) - Y1V( 1890, 0) ","G43 - U28 - G1 - Y1V ","wDA","be whole, sound, prosperous","G23v"
"L","E","N14( 0, 105) - G1( 480, 0) - N5( 1320, 150) ","N14 - G1 - N5 ","dwAt","morning","G23v"
"L","E","N35( 0, 15) - M3( 0, 420) - J1( 960, 30) - X1( 960, 435) - D40( 1500, 0) - Z2( 1635, 420) "," N35 - M3 - J1 - X1 - D40 - Z2 ","nxtw","hostages, securities","G23v"
"L","E","S29( 0, 0) - Y5( 300, 45) - N35( 300, 480) - D54( 1080, 225) ","S29 - Y5 - N35 - D54 ","smn","retire, rest","G23v (causative)"
"L","E","V33( 0, 105) - D58( 405, 0) - G4( 930, 60) - O49( 1845, 60) ","V33 - D58 - G4 - O49 ","gbtyw","Coptus, a town in Upper Egypt","G23v (locality)"
"L","E","D46( 0, 0) - Q3( 105, 330) - X1( 405, 390) - F20( 930, 60) "," D46 - Q3 - X1 - F20 ","dpt","taste","G23v (noun)"
"L","E","O4( 195, 30) - D21( 0, 510) - Y1V( 975, 0) ","O4 - D21 - Y1V ","hrw","be satisfied, quiet","G23v (verb infinitive)"
"L","E","R4( 0, 0) - X1( 45, 510) - Q3( 630, 450) ","R4 - X1 - Q3 ","Htp","pardon, n someone","G23v (verb intransitive)"
"L","E","S29( 0, 0) - W19( 300, 15) - M17( 645, 15) - A2( 960, 30) ","S29 - W19 - M17 - A2 ","smi","report, announce","G23v (verb)"
"L","E","G43( 0, 15) - U28( 555, 0) - G1( 915, 30) - Y1( 1455, 270) ","G43 - U28 - G1 - Y1 ","wDA","be hale, uninjured, prosperous","G23v (verb)"
"L","E","D58( 0, 30) - X1( 540, 0) - U30( 525, 270) - G1( 1065, 15) - G37( 1890, 120) ","D58 - X1 - U30 - G1 - G37 ","btA","wrong, crime","G24v"
"L","E","D52( 15, 0) - X1( 195, 330) - D21( 0, 570) - G43( 870, 120) - D50( 1530, 30) - D50( 1815, 30) - A2( 2085, 75) - A1( 2715, 75) ","D52 - X1 - D21 - G43 - D50 - D50 - A2 - A1 ","mtrw","witness","G24v"
"L","E","S29( 0, 105) - M36( 420, 0) - D21( 300, 510) - A55( 1095, 210) ","S29 - M36 - D21 - A55 ","sDr","spend the night, lie","G24v"
"L","E","V28( 0, 0) - G36( 300, 0) - D21( 285, 540) - G43( 1275, 0) - G37( 1935, 135) - A1( 2760, 15) ","V28 - G36 - D21 - G43 - G37 - A1 ","Hwrw","poor man","G24v"
"L","E","R8( 0, 30) - T28( 555, 0) - D21( 420, 540) - N25( 1380, 270) ","R8 - T28 - D21 - N25 ","Xrt  nTr","necropolis","G24v"
"L","E","M17( 0, 90) - V31( 300, 300) - D58( 1155, 90) - D3( 1575, 180) - A2( 2445, 0) ","M17 - V31 - D58 - D3 - A2 ","i(A)kb","mourning","G24v"
"L","E","U28( 0, 0) - U28( 420, 0) - W24( 915, 30) - X1( 1440, 165) - J8( 945, 495) - A40( 1935, 30) - Z3( 2445, 60) ","U28 - U28 - W24 - X1 - J8 - A40 - Z3 ","DADAt","magistrates, assessors","G24v"
"L","E","P4( 0, 0) - D36( 0, 375) - V1( 855, 105) - A2( 1290, 0) ","P4 - D36 - V1 - A2 ","wHa","interpret, explain","G24v"
"L","E","D21( 0, 0) - N29( 285, 525) - D41( 945, 0) - D54( 1065, 390) ","D21 - N29 - D41 - D54 ","rq","incline","G24v"
"L","E","L1( 240, 0) - D21( 0, 735) - G43( 945, 180) - A53( 1575, 180) - Y1( 1830, 180) - Z2( 1980, 600) ","L1 - D21 - G43 - A53 - Y1 - Z2 ","xprw","forms, stages of growth or development","G24v"
